unique_id;instrument;midi_pitch;dynamics;filename;sndb_filename
001;CLA;060;P;001_CLA_060_P.wav;10Cla1F060p_np___0.wav
002;CLA;060;M;002_CLA_060_M.wav;10Cla1F060m_np___0.wav
003;CLA;060;F;003_CLA_060_F.wav;10Cla1F060f_np___0.wav
004;CLA;061;P;004_CLA_061_P.wav;10Cla1F061p_np___0.wav
005;CLA;061;M;005_CLA_061_M.wav;10Cla1F061m_np___0.wav
006;CLA;061;F;006_CLA_061_F.wav;10Cla1F061f_np___0.wav
007;CLA;062;P;007_CLA_062_P.wav;10Cla1F062p_np___0.wav
008;CLA;062;M;008_CLA_062_M.wav;10Cla1F062m_np___0.wav
009;CLA;062;F;009_CLA_062_F.wav;10Cla1F062f_np___0.wav
010;CLA;063;P;010_CLA_063_P.wav;10Cla1F063p_np___0.wav
011;CLA;063;M;011_CLA_063_M.wav;10Cla1F063m_np___0.wav
012;CLA;063;F;012_CLA_063_F.wav;10Cla1F063f_np___0.wav
013;CLA;064;P;013_CLA_064_P.wav;10Cla1F064p_np___0.wav
014;CLA;064;M;014_CLA_064_M.wav;10Cla1F064m_np___0.wav
015;CLA;064;F;015_CLA_064_F.wav;10Cla1F064f_np___0.wav
016;CLA;065;P;016_CLA_065_P.wav;10Cla1F065p_np___0.wav
017;CLA;065;M;017_CLA_065_M.wav;10Cla1F065m_np___0.wav
018;CLA;065;F;018_CLA_065_F.wav;10Cla1F065f_np___0.wav
019;CLA;066;P;019_CLA_066_P.wav;10Cla1F066p_np___0.wav
020;CLA;066;M;020_CLA_066_M.wav;10Cla1F066m_np___0.wav
021;CLA;066;F;021_CLA_066_F.wav;10Cla1F066f_np___0.wav
022;CLA;067;P;022_CLA_067_P.wav;10Cla1F067p_np___0.wav
023;CLA;067;M;023_CLA_067_M.wav;10Cla1F067m_np___0.wav
024;CLA;067;F;024_CLA_067_F.wav;10Cla1F067f_np___0.wav
025;CLA;068;P;025_CLA_068_P.wav;10Cla1F068p_np___0.wav
026;CLA;068;M;026_CLA_068_M.wav;10Cla1F068m_np___0.wav
027;CLA;068;F;027_CLA_068_F.wav;10Cla1F068f_np___0.wav
028;CLA;069;P;028_CLA_069_P.wav;10Cla1F069p_np___0.wav
029;CLA;069;M;029_CLA_069_M.wav;10Cla1F069m_np___0.wav
030;CLA;069;F;030_CLA_069_F.wav;10Cla1F069f_np___0.wav
031;CLA;070;P;031_CLA_070_P.wav;10Cla1F070p_np___0.wav
032;CLA;070;M;032_CLA_070_M.wav;10Cla1F070m_np___0.wav
033;CLA;070;F;033_CLA_070_F.wav;10Cla1F070f_np___0.wav
034;CLA;071;P;034_CLA_071_P.wav;10Cla1F071p_np___0.wav
035;CLA;071;M;035_CLA_071_M.wav;10Cla1F071m_np___0.wav
036;CLA;071;F;036_CLA_071_F.wav;10Cla1F071f_np___0.wav
037;CLA;072;P;037_CLA_072_P.wav;10Cla1F072p_np___0.wav
038;CLA;072;M;038_CLA_072_M.wav;10Cla1F072m_np___0.wav
039;CLA;072;F;039_CLA_072_F.wav;10Cla1F072f_np___0.wav
040;CLA;073;P;040_CLA_073_P.wav;10Cla1F073p_np___0.wav
041;CLA;073;M;041_CLA_073_M.wav;10Cla1F073m_np___0.wav
042;CLA;073;F;042_CLA_073_F.wav;10Cla1F073f_np___0.wav
043;CLA;074;P;043_CLA_074_P.wav;10Cla1F074p_np___0.wav
044;CLA;074;M;044_CLA_074_M.wav;10Cla1F074m_np___0.wav
045;CLA;074;F;045_CLA_074_F.wav;10Cla1F074f_np___0.wav
046;CLA;075;P;046_CLA_075_P.wav;10Cla1F075p_np___0.wav
